Date,Close/Last,Volume,Open,High,Low
05/17/2024,$420.21,15352240,$422.54,$422.92,$418.025
05/16/2024,$420.99,17530050,$421.80,$425.42,$420.35
05/15/2024,$423.08,22239530,$417.90,$423.81,$417.27
05/14/2024,$416.56,15109310,$412.02,$417.49,$411.55
05/13/2024,$413.72,15440230,$418.01,$418.348,$410.82
05/10/2024,$414.74,13402280,$412.935,$415.38,$411.80
05/09/2024,$412.32,14689730,$410.57,$412.72,$409.10
05/08/2024,$410.54,11792310,$408.17,$412.23,$406.7132
05/07/2024,$409.34,20018230,$414.66,$414.67,$409.09
05/06/2024,$413.54,16996640,$408.76,$413.93,$406.3701
05/03/2024,$406.66,17446720,$402.28,$407.15,$401.86
05/02/2024,$397.84,17709360,$397.66,$399.93,$394.6515
05/01/2024,$394.94,23562480,$392.61,$401.7199,$390.31
04/30/2024,$389.33,28781370,$401.49,$402.16,$389.17
04/29/2024,$402.25,19582090,$405.25,$406.32,$399.19
04/26/2024,$406.32,29694650,$412.17,$413.00,$405.7601
04/25/2024,$399.04,40586450,$394.03,$399.8899,$388.03
04/24/2024,$409.06,15065330,$409.56,$412.47,$406.78
04/23/2024,$407.57,15734500,$404.235,$408.20,$403.06
04/22/2024,$400.96,20286880,$400.08,$402.85,$395.75
04/19/2024,$399.12,30565790,$404.03,$405.48,$397.77
04/18/2024,$404.27,21029920,$410.63,$411.89,$403.95
